id,hash,data,files
4,6889734,,"[1,2,3,0]"
5,5985543,,"[1,2,3,0]"
6,4274261,,[1]
7,643310,,[1]
8,122708,,[1]
9,1527519,,[1]
10,1235847,,[1]
11,1826022,,[1]
12,8758049,,[1]
13,5419133,,[1]
14,2827703,,[1]
15,541256,,[1]
16,740165,,[1]
17,830832,,[1]
18,481549,,"[1,2,3,0]"
19,4349012,,"[1,2,3,0]"
20,6078343,,"[1,2,3,0]"
21,4554588,,"[1,2,3,0]"
22,3431998,,"[1,2,3,0]"
23,2135536,,"[1,2,3,0]"
24,2695674,,"[1,2,3,0]"
25,5463584,,[1]
26,8553766,,[1]
27,5622981,,[1]
28,6248360,,[1]
29,9664667,,[1]
30,5318710,,[1]
31,1976225,,[1]
32,4943414,,[1]
33,4695778,,[1]
34,3242545,,[1]
35,3692244,,"[2,3,0]"
36,530746,,"[2,3,0]"
37,214915,,"[2,3,0]"
38,2719369,,"[2,3,0]"
39,4610254,,"[2,3,0]"
40,4720255,,"[2,3,0]"
41,289227,,"[2,3,0]"
42,3975585,,"[2,3,0]"
43,7338755,,"[2,3,0]"
44,2371197,,"[2,3,0]"
45,2468970,,"[2,3,0]"
46,3488110,,"[2,3,0]"
47,2817515,,"[2,3,0]"
48,1756751,,"[2,3,0]"
